NUTS3;CODE
'DEF09';'25495'
'DEB24';'54586'
'DEA1D';'41564'
'DEA12';'47137'
'DEB37';'66954'
'DEB11';'56075'
'DEB11';'56073'
'DE949';'26897'
'DEA52';'44287'
'DEB18';'56305'
'DEB3D';'67817'
'DE132';'79254'
'DEB3D';'67724'
'DE133';'79183'
'DEB3D';'67307'
'DE94E';'49597'
'DE94E';'49186'
'DE13A';'79733'
'DE71D';'65326'
'DE944';'49088'
'DEC05';'66424'
'DEB17';'56642'
'DEB3A';'66482'
'DEB17';'56630'
'DE949';'49740'
'DEB1D';'55490'
'DEF0C';'24989'
'DE938';'29683'
'DEF0B';'24361'
'DE257';'91487'
'DE27B';'87640'
'DE245';'96138'
'DEG0Q';'98544'
'DEF08';'23689'
'DE27B';'87669'
'DE929';'30521'
'DE134';'77767'
'DE948';'49661'
'DEA38';'48317'
'DEA33';'48145'
'DE721';'35394'
'DE715';'69509'
'DE300';'12685'
'DE300';'12679'
'DE927';'31603'
'DE736';'35099'
'DE724';'35043'
'DE138';'78244'
'DE945';'26384'
'DE134';'77883'
'DEB3C';'67278'
'DEB3C';'67281'
'DE723';'35781'
'DEB35';'55127'
'DE943';'26121'
'DEA42';'33378'
'DE94E';'49326'
'DEB23';'54689'
'DEA1E';'47929'
'DEB23';'54595'
'DEA15';'41189'
'DEA1E';'41748'
'DEA26';'52355'
'DE142';'72116'
'DE300';'12627'
'DED21';'01257'
'DED2C';'01454'
'DED2F';'01796'
'DE80N';'17375'
'DED2F';'01829'
'DE40B';'01996'
'DE402';'03044'
'DE40G';'03197'
'DE403';'15232'
'DEA54';'59069'
'DEB13';'57572'
'DEB14';'55543'
'DEB3F';'67677'
'DE131';'79102'
'DEB1B';'57629'
'DE132';'79199'
'DEB13';'57567'
'DEB3J';'55576'
'DEA1B';'47509'
'DEB25';'54456'
'DEB24';'54589'
'DEB23';'54655'
'DEA1F';'47447'
'DEA17';'46117'
'DEA17';'46119'
'DEA1C';'40699'
'DE737';'37213'
'DE26C';'97268'
'DE11D';'73571'
'DE263';'97082'
'DEF0D';'24623'
'DE148';'88299'
'DE91C';'37073'
'DE26B';'97535'
'DE600';'22301'
'DE11D';'73491'
'DE600';'22307'
'DE91C';'37199'
'DE266';'97616'
'DE278';'89346'
'DEF0F';'22941'
'DEF0A';'24226'
'DEG06';'37351'
'DEA36';'46282'
'DEA13';'45359'
'DE714';'65195'
'DE723';'65618'
'DEB35';'55116'
'DE123';'76287'
'DEB3J';'55283'
'DEB3I';'67105'
'DE71A';'65719'
'DE122';'76199'
'DE122';'76137'
'DEB14';'55606'
'DEA52';'44319'
'DEA58';'58642'
'DEB13';'57610'
'DEA33';'48157'
'DE133';'79369'
'DEB3F';'67700'
'DE132';'79227'
'DEB1B';'56242'
'DE139';'79585'
'DE133';'79359'
'DEB1D';'55487'
'DEB18';'53557'
'DEA52';'44359'
'DEA52';'44357'
'DEB1C';'56867'
'DEB12';'53489'
'DEB1C';'56820'
'DE254';'90471'
'DE219';'85131'
'DE80M';'23946'
'DE71D';'65510'
'DEB35';'55126'
'DE268';'97353'
'DEF0F';'22927'
'DE91B';'38275'
'DE916';'38707'
'DE146';'88447'
'DE119';'74673'
'DE212';'81248'
'DE80J';'17237'
'DED41';'09122'
'DE408';'14624'
'DEA1B';'47551'
'DEA2D';'52477'
'DEA2D';'52159'
'DEA2D';'52156'
'DEA2D';'52152'
'DEA26';'52382'
'DEB25';'54298'
'DEA1F';'47506'
'DEA14';'47809'
'DEB25';'54343'
'DEB25';'54341'
'DEA12';'47057'
'DEA17';'46049'
'DEB22';'54524'
'DEA16';'45473'
'DEA13';'45355'
'DEA19';'42697'
'DE722';'35585'
'DE715';'64683'
'DE135';'78662'
'DE12B';'75196'
'DE123';'75045'
'DEA47';'33161'
'DEA29';'41849'
'DEA1B';'47546'
'DEA26';'52388'
'DEC02';'66679'
'DEA27';'50169'
'DEA12';'47055'
'DE256';'91722'
'DEG0A';'99706'
'DEG0C';'99867'
'DE914';'29379'
'DEF06';'23879'
'DEF08';'23717'
'DE277';'86502'
'DE276';'86405'
'DE276';'86678'
'DEF08';'23738'
'DE21N';'86972'
'DEG01';'99090'
'DE922';'27254'
'DE149';'88631'
'DE736';'34513'
'DE127';'74869'
'DEF05';'25746'
'DE714';'55252'
'DEB3E';'76764'
'DE722';'35684'
'DE122';'76189'
'DEB3B';'67577'
'DE94G';'26936'
'DEB3E';'67365'
'DEA5B';'59557'
'DE94D';'27801'
'DE803';'18055'
'DEA5B';'59602'
'DEB3I';'67117'
'DEB1B';'57614'
'DEB22';'54472'
'DEA23';'51061'
'DEC01';'66125'
'DE94B';'48527'
'DEB12';'53508'
'DE947';'26736'
'DEA23';'51109'
'DE734';'34246'
'DEF01';'24944'
'DEF0C';'24975'
'DE11A';'74535'
'DEF0E';'25593'
'DE26A';'97737'
'DE11B';'97944'
'DE11A';'74420'
'DE737';'37216'
'DE128';'69469'
'DE501';'28719'
'DE712';'60594'
'DE71E';'61118'
'DEA47';'33175'
'DE71E';'61206'
'DE922';'27245'
'DE71C';'63150'
'DEA46';'32429'
'DEA46';'32547'
'DE71B';'64395'
'DE716';'64853'
'DE927';'31595'
'DE501';'28325'
'DE932';'21785'
'DE937';'27412'
'DE115';'71739'
'DE118';'74252'
'DE724';'35279'
'DE933';'21438'
'DE21C';'82216'
'DEE09';'06543'
'DE24B';'95349'
'DEE07';'39340'
'DE114';'73102'
'DE11D';'74417'
'DE11A';'74542'
'DE600';'22589'
'DE26C';'97265'
'DE600';'21149'
'DE146';'88444'
'DE737';'37215'
'DE918';'37154'
'DE600';'22527'
'DE144';'89081'
'DE257';'91096'
'DE253';'90763'
'DE254';'90449'
'DE112';'71159'
'DE12B';'71292'
'DE721';'35466'
'DEE08';'06618'
'DE40F';'19322'
'DE237';'92724'
'DE23A';'95506'
'DE226';'93359'
'DEE0A';'06536'
'DEA54';'59077'
'DE94H';'26446'
'DEB1A';'56357'
'DEB3D';'67822'
'DEA58';'58675'
'DEB14';'55583'
'DE124';'76549'
'DEA51';'44894'
'DEA2C';'53804'
'DEB17';'56295'
'DEA56';'58313'
'DEB18';'53577'
'DEB14';'55619'
'DEA13';'45276'
'DE135';'72175'
'DE724';'35075'
'DE136';'78083'
'DEG0S';'98527'
'DEG07';'99768'
'DE258';'90613'
'DEG0S';'98711'
'DE276';'86462'
'DEA1E';'41749'
'DEA15';'41065'
'DEA1D';'41363'
'DEA14';'47802'
'DEB24';'54585'
'DE721';'35435'
'DE724';'35096'
'DE716';'64367'
'DEA47';'33178'
'DE712';'60311'
'DED44';'08548'
'DE239';'92533'
'DE227';'84036'
'DE21K';'83569'
'DE24D';'95691'
'DED52';'04523'
'DE23A';'95692'
'DE12C';'72296'
'DE128';'68799'
'DE721';'35428'
'DE135';'78628'
'DE711';'64295'
'DEA42';'33428'
'DE723';'35796'
'DE722';'35716'
'DEB35';'55130'
'DEF0C';'24999'
'DE114';'73066'
'DE148';'88276'
'DE148';'88214'
'DE145';'72589'
'DEF0B';'24594'
'DE145';'89617'
'DEF0C';'24894'
'DE214';'84558'
'DE235';'93495'
'DED53';'04880'
'DE235';'93437'
'DE80J';'17153'
'DE224';'94562'
'DED41';'09116'
'DE224';'94469'
'DED41';'09120'
'DED42';'09487'
'DED45';'08459'
'DE80L';'18374'
'DE21M';'84529'
'DEB23';'54647'
'DEB25';'54316'
'DEA12';'47139'
'DEA27';'50259'
'DEA11';'40468'
'DEB24';'54552'
'DE712';'60439'
'DE12A';'72221'
'DE128';'69214'
'DE137';'78591'
'DE12A';'72229'
'DE712';'60314'
'DE715';'64668'
'DE137';'78582'
'DE716';'64859'
'DE501';'28199'
'DE922';'28844'
'DE137';'78589'
'DE713';'63073'
'DE138';'78224'
'DE128';'74915'
'DE21J';'85301'
'DE212';'80803'
'DE21A';'85469'
'DEE06';'39319'
'DEG02';'07545'
'DE238';'84069'
'DE238';'93173'
'DE21K';'83134'
'DE227';'84169'
'DE227';'84171'
'DEE08';'06729'
'DE238';'93170'
'DE21K';'83564'
'DE21G';'83536'
'DE239';'92431'
'DED45';'08451'
'DE238';'93086'
'DED51';'04157'
'DE132';'79238'
'DEB24';'54550'
'DE236';'92353'
