appln_filing_year;jurisdiction;ipc_class;application_count;ipc_class_description;jurisdiction_description
2020;EP;A61B;8155;Diagnosis, Surgery, Identification;European Patent Office
2020;EP;A61C;756;Dentistry, Oral Hygiene;European Patent Office
2020;EP;A61F;2817;Filters, Protheses, Orthotics;European Patent Office
2020;EP;A61G;347;Transport, Personal Conveyances;European Patent Office
2020;EP;A61H;409;Physical Therapy Apparatus;European Patent Office
2020;EP;A61J;417;Containers for Medicines;European Patent Office
2020;EP;A61K40;634;Medicinal Preparations (Drug Delivery);European Patent Office
2020;EP;A61L;1527;Sterilisation, Disinfection;European Patent Office
2020;EP;A61M;3513;Devices for Introducing Media;European Patent Office
2020;EP;A61N;1479;Electrotherapy, Magnetotherapy;European Patent Office
2020;EP;G16H;1857;Healthcare Informatics;European Patent Office
2020;EP;H05G;62;X-ray Technique;European Patent Office
2021;EP;A61B;8160;Diagnosis, Surgery, Identification;European Patent Office
2021;EP;A61C;641;Dentistry, Oral Hygiene;European Patent Office
2021;EP;A61F;2660;Filters, Protheses, Orthotics;European Patent Office
2021;EP;A61G;352;Transport, Personal Conveyances;European Patent Office
2021;EP;A61H;352;Physical Therapy Apparatus;European Patent Office
2021;EP;A61J;342;Containers for Medicines;European Patent Office
2021;EP;A61K40;758;Medicinal Preparations (Drug Delivery);European Patent Office
2021;EP;A61L;1826;Sterilisation, Disinfection;European Patent Office
2021;EP;A61M;3516;Devices for Introducing Media;European Patent Office
2021;EP;A61N;1366;Electrotherapy, Magnetotherapy;European Patent Office
2021;EP;G16H;2122;Healthcare Informatics;European Patent Office
2021;EP;H05G;69;X-ray Technique;European Patent Office
2022;EP;A61B;7692;Diagnosis, Surgery, Identification;European Patent Office
2022;EP;A61C;599;Dentistry, Oral Hygiene;European Patent Office
2022;EP;A61F;2175;Filters, Protheses, Orthotics;European Patent Office
2022;EP;A61G;314;Transport, Personal Conveyances;European Patent Office
2022;EP;A61H;287;Physical Therapy Apparatus;European Patent Office
2022;EP;A61J;311;Containers for Medicines;European Patent Office
2022;EP;A61K40;750;Medicinal Preparations (Drug Delivery);European Patent Office
2022;EP;A61L;1403;Sterilisation, Disinfection;European Patent Office
2022;EP;A61M;3123;Devices for Introducing Media;European Patent Office
2022;EP;A61N;1312;Electrotherapy, Magnetotherapy;European Patent Office
2022;EP;G16H;2222;Healthcare Informatics;European Patent Office
2022;EP;H05G;80;X-ray Technique;European Patent Office
2023;EP;A61B;5491;Diagnosis, Surgery, Identification;European Patent Office
2023;EP;A61C;461;Dentistry, Oral Hygiene;European Patent Office
2023;EP;A61F;1613;Filters, Protheses, Orthotics;European Patent Office
2023;EP;A61G;218;Transport, Personal Conveyances;European Patent Office
2023;EP;A61H;223;Physical Therapy Apparatus;European Patent Office
2023;EP;A61J;207;Containers for Medicines;European Patent Office
2023;EP;A61K40;471;Medicinal Preparations (Drug Delivery);European Patent Office
2023;EP;A61L;874;Sterilisation, Disinfection;European Patent Office
2023;EP;A61M;2144;Devices for Introducing Media;European Patent Office
2023;EP;A61N;909;Electrotherapy, Magnetotherapy;European Patent Office
2023;EP;G16H;1461;Healthcare Informatics;European Patent Office
2023;EP;H05G;48;X-ray Technique;European Patent Office
