appln_filing_year;jurisdiction;ipc_class;application_count;ipc_class_description;jurisdiction_description
2020;CN;A61B;83336;Diagnosis, Surgery, Identification;China (CNIPA)
2020;CN;A61C;8064;Dentistry, Oral Hygiene;China (CNIPA)
2020;CN;A61F;33435;Filters, Protheses, Orthotics;China (CNIPA)
2020;CN;A61G;32114;Transport, Personal Conveyances;China (CNIPA)
2020;CN;A61H;30382;Physical Therapy Apparatus;China (CNIPA)
2020;CN;A61J;11480;Containers for Medicines;China (CNIPA)
2020;CN;A61K40;1341;Medicinal Preparations (Drug Delivery);China (CNIPA)
2020;CN;A61L;46332;Sterilisation, Disinfection;China (CNIPA)
2020;CN;A61M;57950;Devices for Introducing Media;China (CNIPA)
2020;CN;A61N;12238;Electrotherapy, Magnetotherapy;China (CNIPA)
2020;CN;G16H;10947;Healthcare Informatics;China (CNIPA)
2020;CN;H05G;174;X-ray Technique;China (CNIPA)
2020;DE;A61B;1397;Diagnosis, Surgery, Identification;Germany (DPMA)
2020;DE;A61C;153;Dentistry, Oral Hygiene;Germany (DPMA)
2020;DE;A61F;587;Filters, Protheses, Orthotics;Germany (DPMA)
2020;DE;A61G;183;Transport, Personal Conveyances;Germany (DPMA)
2020;DE;A61H;157;Physical Therapy Apparatus;Germany (DPMA)
2020;DE;A61J;60;Containers for Medicines;Germany (DPMA)
2020;DE;A61K40;10;Medicinal Preparations (Drug Delivery);Germany (DPMA)
2020;DE;A61L;689;Sterilisation, Disinfection;Germany (DPMA)
2020;DE;A61M;513;Devices for Introducing Media;Germany (DPMA)
2020;DE;A61N;131;Electrotherapy, Magnetotherapy;Germany (DPMA)
2020;DE;G16H;254;Healthcare Informatics;Germany (DPMA)
2020;DE;H05G;44;X-ray Technique;Germany (DPMA)
2020;EP;A61B;8155;Diagnosis, Surgery, Identification;European Patent Office
2020;EP;A61C;756;Dentistry, Oral Hygiene;European Patent Office
2020;EP;A61F;2817;Filters, Protheses, Orthotics;European Patent Office
2020;EP;A61G;347;Transport, Personal Conveyances;European Patent Office
2020;EP;A61H;409;Physical Therapy Apparatus;European Patent Office
2020;EP;A61J;417;Containers for Medicines;European Patent Office
2020;EP;A61K40;634;Medicinal Preparations (Drug Delivery);European Patent Office
2020;EP;A61L;1527;Sterilisation, Disinfection;European Patent Office
2020;EP;A61M;3513;Devices for Introducing Media;European Patent Office
2020;EP;A61N;1479;Electrotherapy, Magnetotherapy;European Patent Office
2020;EP;G16H;1857;Healthcare Informatics;European Patent Office
2020;EP;H05G;62;X-ray Technique;European Patent Office
2020;US;A61B;20719;Diagnosis, Surgery, Identification;United States (USPTO)
2020;US;A61C;1368;Dentistry, Oral Hygiene;United States (USPTO)
2020;US;A61F;6426;Filters, Protheses, Orthotics;United States (USPTO)
2020;US;A61G;1013;Transport, Personal Conveyances;United States (USPTO)
2020;US;A61H;1250;Physical Therapy Apparatus;United States (USPTO)
2020;US;A61J;986;Containers for Medicines;United States (USPTO)
2020;US;A61K40;1371;Medicinal Preparations (Drug Delivery);United States (USPTO)
2020;US;A61L;3629;Sterilisation, Disinfection;United States (USPTO)
2020;US;A61M;7735;Devices for Introducing Media;United States (USPTO)
2020;US;A61N;3595;Electrotherapy, Magnetotherapy;United States (USPTO)
2020;US;G16H;6756;Healthcare Informatics;United States (USPTO)
2020;US;H05G;168;X-ray Technique;United States (USPTO)
2021;CN;A61B;81170;Diagnosis, Surgery, Identification;China (CNIPA)
2021;CN;A61C;8697;Dentistry, Oral Hygiene;China (CNIPA)
2021;CN;A61F;31248;Filters, Protheses, Orthotics;China (CNIPA)
2021;CN;A61G;29858;Transport, Personal Conveyances;China (CNIPA)
2021;CN;A61H;28055;Physical Therapy Apparatus;China (CNIPA)
2021;CN;A61J;10471;Containers for Medicines;China (CNIPA)
2021;CN;A61K40;1186;Medicinal Preparations (Drug Delivery);China (CNIPA)
2021;CN;A61L;34991;Sterilisation, Disinfection;China (CNIPA)
2021;CN;A61M;56212;Devices for Introducing Media;China (CNIPA)
2021;CN;A61N;10765;Electrotherapy, Magnetotherapy;China (CNIPA)
2021;CN;G16H;11487;Healthcare Informatics;China (CNIPA)
2021;CN;H05G;155;X-ray Technique;China (CNIPA)
2021;DE;A61B;1330;Diagnosis, Surgery, Identification;Germany (DPMA)
2021;DE;A61C;122;Dentistry, Oral Hygiene;Germany (DPMA)
2021;DE;A61F;486;Filters, Protheses, Orthotics;Germany (DPMA)
2021;DE;A61G;152;Transport, Personal Conveyances;Germany (DPMA)
2021;DE;A61H;200;Physical Therapy Apparatus;Germany (DPMA)
2021;DE;A61J;62;Containers for Medicines;Germany (DPMA)
2021;DE;A61K40;16;Medicinal Preparations (Drug Delivery);Germany (DPMA)
2021;DE;A61L;438;Sterilisation, Disinfection;Germany (DPMA)
2021;DE;A61M;460;Devices for Introducing Media;Germany (DPMA)
2021;DE;A61N;147;Electrotherapy, Magnetotherapy;Germany (DPMA)
2021;DE;G16H;226;Healthcare Informatics;Germany (DPMA)
2021;DE;H05G;62;X-ray Technique;Germany (DPMA)
2021;EP;A61B;8160;Diagnosis, Surgery, Identification;European Patent Office
2021;EP;A61C;641;Dentistry, Oral Hygiene;European Patent Office
2021;EP;A61F;2660;Filters, Protheses, Orthotics;European Patent Office
2021;EP;A61G;352;Transport, Personal Conveyances;European Patent Office
2021;EP;A61H;352;Physical Therapy Apparatus;European Patent Office
2021;EP;A61J;342;Containers for Medicines;European Patent Office
