jurisdiction;ipc_class;applicant_name;app_count;rank;ipc_class_description;jurisdiction_description
CN;A61B;ZHEJIANG UNIVERSITY;1288;1;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;997;2;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;SHENZHEN MINDRAY BIOMEDICAL ELECTRONICS CO., LTD.;927;3;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;UNION HOSPITAL, TONGJI MEDICAL COLLAGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY;862;4;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;790;5;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;WUHAN UNITED IMAGING ZHIRONG MEDICAL TECHNOLOGY CO., LTD.;767;6;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;PEKING UNIVERSITY THIRD HOSPITAL (PEKING UNIVERSITY THIRD CLINICAL MEDICAL COLLEGE);724;7;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;JILIN UNIVERSITY;675;8;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;SHANGHAI UNITED IMAGING HEALTHCARE CO., LTD.;644;9;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61B;THE FOURTH MILITARY MEDICAL UNIVERSITY;620;10;Diagnosis, Surgery, Identification;China (CNIPA)
CN;A61C;SICHUAN UNIVERSITY;387;1;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;SHANGHAI NINTH PEOPLE'S HOSPITAL, SHANGHAI JIAOTONG UNIVERSITY SCHOOL OF MEDICINE;335;2;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;Guilin Woodpecker Medical Instrument Co., Ltd.;333;3;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;GUANGZHOU XINGJI YUEDONG CO., LTD.;287;4;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;PEKING UNIVERSITY SCHOOL OF STOMATOLOGY;238;5;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;SHANGHAI FEIXIANG HEALTH TECHNOLOGY CO., LTD.;220;6;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;SHENZHEN RISUN TECHNOLOGY CO., LTD.;167;7;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;SMARTEE DENTI-TECHNOLOGY (SHANGHAI) CO., LTD.;163;8;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;THE FOURTH MILITARY MEDICAL UNIVERSITY;152;9;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61C;GUANGDONG BEIZHI HEALTH TECHNOLOGY CO., LTD.;137;10;Dentistry, Oral Hygiene;China (CNIPA)
CN;A61F;ZHEJIANG UNIVERSITY;445;1;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;367;2;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;UNION HOSPITAL, TONGJI MEDICAL COLLAGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY;359;3;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;JILIN UNIVERSITY;356;4;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;BEIJING CHUNLIZHENGDA MEDICAL INSTRUMENTS CO., LTD.;338;5;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;EDWARDS LIFESCIENCES CORPORATION;332;6;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;305;7;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;UNI-CHARM CORPORATION;301;8;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;SKG TECHNOLOGY CO., LTD.;301;8;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;SHANGHAI NINTH PEOPLE'S HOSPITAL, SHANGHAI JIAOTONG UNIVERSITY SCHOOL OF MEDICINE;295;9;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61F;THE FIRST HOSPITAL OF JILIN UNIVERSITY;278;10;Filters, Protheses, Orthotics;China (CNIPA)
CN;A61G;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;518;1;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;THE FIRST HOSPITAL OF JILIN UNIVERSITY;480;2;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;ZHEJIANG UNIVERSITY;377;3;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;JILIN UNIVERSITY;370;4;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;UNION HOSPITAL, TONGJI MEDICAL COLLAGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY;348;5;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;319;6;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;AFFILIATED HOSPITAL OF YOUJIANG MEDICAL UNIVERSITY FOR NATIONALITIES;278;7;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;THE FOURTH MILITARY MEDICAL UNIVERSITY;275;8;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;AIR FORCE MEDICAL UNIVERSITY OF PLA;248;9;Transport, Personal Conveyances;China (CNIPA)
CN;A61G;ZHENGZHOU CHILDREN'S HOSPITAL, HENAN CHILDREN'S HOSPITAL;243;10;Transport, Personal Conveyances;China (CNIPA)
CN;A61H;SKG TECHNOLOGY CO., LTD.;619;1;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;ZDEER INDUSTRIAL (HUBEI) CO., LTD.;380;2;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;OGAWA INTELLIGENT HEALTH TECHNOLOGY GROUP CO., LTD.;282;3;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;271;4;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;SHENZHEN BREO TECHNOLOGY CO., LTD.;232;5;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;FUTURE WEARING HEALTH TECHNOLOGY CO., LTD.;230;6;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;JILIN UNIVERSITY;228;7;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;SHANGHAI RONGTAI HEALTH TECHNOLOGY CORPORATION LIMITED;227;8;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;HENAN XIANGYU MEDICAL EQUIPMENT CO., LTD.;225;9;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;SICHUAN TRINIDAD ELECTRONIC EQUIPMENT CO., LTD.;203;10;Physical Therapy Apparatus;China (CNIPA)
CN;A61J;UNION HOSPITAL, TONGJI MEDICAL COLLAGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY;125;1;Containers for Medicines;China (CNIPA)
CN;A61J;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;119;2;Containers for Medicines;China (CNIPA)
CN;A61J;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;111;3;Containers for Medicines;China (CNIPA)
CN;A61J;JILIN UNIVERSITY;108;4;Containers for Medicines;China (CNIPA)
CN;A61J;THE FIRST HOSPITAL OF JILIN UNIVERSITY;106;5;Containers for Medicines;China (CNIPA)
CN;A61J;ZHEJIANG UNIVERSITY;104;6;Containers for Medicines;China (CNIPA)
CN;A61J;ZHEJIANG HOUDAR AUTOMATION SYSTEM CO., LTD.;97;7;Containers for Medicines;China (CNIPA)
CN;A61J;WUHAN UNIVERSITY;83;8;Containers for Medicines;China (CNIPA)
CN;A61J;ZHENGZHOU CHILDREN'S HOSPITAL, HENAN CHILDREN'S HOSPITAL;74;9;Containers for Medicines;China (CNIPA)
CN;A61J;THE SIXTH MEDICAL CENTER OF PLA GENERAL HOSPITAL;73;10;Containers for Medicines;China (CNIPA)
CN;A61K40;CHINA PHARMACEUTICAL UNIVERSITY;71;1;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SHANGHAI INSTITUTE OF MATERIA MEDICA, CHINESE ACADEMY OF SCIENCES;50;2;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SHENYANG PHARMACEUTICAL UNIVERSITY;40;3;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SICHUAN UNIVERSITY;39;4;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;INSTITUTE OF MATERIA MEDICA, CHINESE ACADEMY OF MEDICAL SCIENCES;35;5;Medicinal Preparations (Drug Delivery);China (CNIPA)
