jurisdiction;applicant_name;applicant_country;total_applications;different_classes;active_in_classes;jurisdiction_description
CN;ZHEJIANG UNIVERSITY;  ;3327;12;N/A;China (CNIPA)
CN;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;  ;2723;11;N/A;China (CNIPA)
EP;Koninklijke Philips N.V.;NL;2711;11;N/A;European Patent Office
CN;UNION HOSPITAL, TONGJI MEDICAL COLLAGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY;  ;2447;11;N/A;China (CNIPA)
CN;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;  ;2367;11;N/A;China (CNIPA)
US;Covidien LP;US;2210;9;N/A;United States (USPTO)
CN;JILIN UNIVERSITY;  ;2161;11;N/A;China (CNIPA)
CN;THE FOURTH MILITARY MEDICAL UNIVERSITY;  ;1723;11;N/A;China (CNIPA)
CN;THE FIRST HOSPITAL OF JILIN UNIVERSITY;  ;1676;10;N/A;China (CNIPA)
CN;AIR FORCE MEDICAL UNIVERSITY OF PLA;  ;1673;11;N/A;China (CNIPA)
US;Cilag GmbH International;CH;1663;9;N/A;United States (USPTO)
US;Koninklijke Philips N.V.;NL;1593;12;N/A;United States (USPTO)
CN;SHANGHAI NINTH PEOPLE'S HOSPITAL, SHANGHAI JIAOTONG UNIVERSITY SCHOOL OF MEDICINE;  ;1568;11;N/A;China (CNIPA)
US;Boston Scientific Scimed, Inc.;US;1542;8;N/A;United States (USPTO)
CN;SICHUAN UNIVERSITY;  ;1517;11;N/A;China (CNIPA)
CN;WUHAN UNIVERSITY;  ;1486;11;N/A;China (CNIPA)
CN;JIANGSU PROVINCE HOSPITAL (THE FIRST AFFILIATED HOSPITAL WITH NANJING MEDICAL UNIVERSITY);  ;1461;11;N/A;China (CNIPA)
CN;PEKING UNIVERSITY THIRD HOSPITAL (PEKING UNIVERSITY THIRD CLINICAL MEDICAL COLLEGE);  ;1345;10;N/A;China (CNIPA)
CN;THE FIRST AFFILIATED HOSPITAL OF MEDICAL COLLEGE OF XI'AN JIAOTONG UNIVERSITY;  ;1328;11;N/A;China (CNIPA)
