Applicant_Name,Sector,Patent_Families,First_Year,Last_Year,Person_IDs,Rank,Family_ID_List
CHINESE ACADEMY OF SCIENCES,Research Institution,308,2002,2023,60,1,"[27810918, 34337422, 35706438, 36787311, 40879088, 43101831, 43322334, 43322410, 44214827, 44420403, 45049283, 45333293, 46039765, 46090341, 46183851, 46896969, 46989188, 48581302, 48633793, 48716144, 50010511, 50755918, 50903288, 50910514, 50951576, 51236087, 51330061, 51873804, 52556134, 52970048, 53411341, 53451292, 53965716, 54081062, 54219083, 54373557, 54475162, 54908579, 54967931, 55331868, 55371903, 55571235, 56029101, 56146382, 57268605, 57459016, 58556275, 59102231, 59112197, 59149613, 59155684, 59160341, 59229173, 59336424, 59610551, 59780924, 59792650, 60552179, 60595044, 60730941, 61063680, 61097420, 61206474, 61268024, 61698905, 61751683, 61768963, 61768996, 61803129, 61954573, 62544783, 62572544, 62572636, 62670001, 62670301, 62805176, 63201743, 63350998, 63486799, 64319755, 64410168, 65316233, 66252905, 66351812, 66879593, 66880793, 66957475, 67009294, 67318824, 67365864, 67519477, 67754604, 67911870, 68007661, 68283423, 69215238, 69425085, 69547144, 69745479, 69848485, 70235221, 70495045, 70877489, 70879426, 70991341, 71020028, 71675231, 71970028, 72861122, 73388866, 73461786, 73733849, 73803580, 74144381, 74807518, 74843054, 74883943, 75229152, 75353783, 75399675, 75458033, 75505177, 75593141, 76006652, 76048190, 76242681, 76342683, 76380898, 76557964, 76557998, 76558004, 76558006, 76558256, 76611269, 76715261, 76938099, 77281209, 77281717, 77295610, 77307205, 77717794, 77811048, 77866045, 78087669, 78240321, 78300856, 78337437, 78386872, 78423161, 78484670, 78580898, 78645291, 78789188, 78999100, 79012514, 79109957, 79242401, 79250808, 80068934, 80081436, 80146845, 80213136, 82230620, 82239567, 82407936, 82446826, 82520800, 82524525, 82623222, 82623528, 82671018, 82678967, 82760843, 82909172, 83163885, 83165060, 83241074, 83287187, 83290178, 83328406, 83489879, 83571158, 83825224, 83918687, 83953716, 83977563, 83977823, 84007832, 84230535, 84249392, 84393422, 84394361, 84402650, 84703000, 85360546, 85428592, 85444960, 85444967, 85481240, 85483806, 85668524, 85669306, 85669363, 85761028, 86025999, 86120597, 86169367, 86185972, 86207539, 86209104, 86266577, 86294018, 86297322, 86303275, 86306738, 86335029, 86335034, 86341368, 86431549, 86473588, 86510023, 86511927, 86551601, 86572090, 86645341, 86681683, 86685913, 86722387, 86723458, 86740979, 86778353, 86791026, 86888084, 86889830, 86893782, 86980303, 87177701, 87363042, 87446366, 87541067, 87616173, 87680918, 87684523, 87910684, 88039005, 88085175, 88111641, 88118353, 88167577, 88171183, 88458363, 88637022, 88664717, 88702616, 88771321, 88886613, 88886920, 88908139, 88933717, 89005243, 89038860, 89127597, 89131842, 89132104, 89217409, 89238518, 89253097, 89258239, 89278522, 89278560, 89292598, 89356767, 89364314, 89370305, 89406930, 89623574, 89631800, 89636733, 89667773, 89783947, 89910884, 89915580, 90026598, 90310248, 90310293, 90394305, 90408780, 90648006, 90649516, 90705214, 90885880, 90958488, 91068466, 91110060, 91164223, 91219880, 91295501, 91347581, 91609783, 91640697, 92031260, 92454351, 92598416, 92610769, 92673991, 92674021, 92979262, 93487642]"
HUANENG CLEAN ENERGY RESEARCH INSTITUTE,Company,202,2015,2023,4,2,"[53446956, 53845683, 54309093, 55499277, 56431617, 56675567, 60390794, 63008013, 63032074, 63073705, 63099945, 63780660, 64436655, 64436742, 64436752, 64436949, 64780678, 65119282, 65557592, 66062798, 66150041, 67136240, 67449309, 67536923, 67813292, 69969949, 70048897, 71184621, 71203034, 72712364, 73145210, 73251773, 74913967, 76113472, 76349158, 76515130, 76563134, 76680056, 76680794, 76817266, 76870819, 76872864, 76876927, 77093417, 77096662, 77548151, 77577619, 77760619, 78012733, 78136970, 78158971, 78329220, 78388019, 78419632, 78419635, 78478379, 78484752, 78484762, 78496421, 78548952, 78620147, 78623959, 78658060, 78684563, 78691188, 78736976, 78775654, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79066042, 79185019, 79189045, 79218031, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79733595, 79750111, 79853027, 79857300, 79884953, 79890167, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80065839, 80138159, 80140130, 80297835, 80315730, 80395179, 80750606, 81030638, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82382703, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82475414, 82476695, 82485915, 82510691, 82536002, 82567117, 82596824, 82630336, 82635657, 82855159, 82855690, 82981260, 82983120, 83026364, 83027489, 83066117, 83128980, 83199255, 83258373, 83266733, 83408167, 83412755, 83609958, 83738113, 83750239, 83754682, 83766525, 83773772, 83786494, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85257419, 85292576, 85292577, 85339838, 85523252, 85533849, 85535183, 85535334, 85754051, 85764605, 85997996, 85998697, 86001756, 86033836, 86627642, 87180689, 87535249, 87593710, 87678630, 88165215, 88381902, 88461052, 88523996, 88935981, 88987988, 89090834, 89204165, 89211480, 89728867, 89754194, 89919266, 90158086, 90330213, 90335841, 90565114]"
HONDA MOTOR COMPANY,Company,154,2000,2023,18,3,"[18558524, 18776984, 18825412, 18830979, 19166411, 32063548, 32170855, 32764242, 34048920, 34225169, 34782276, 34782277, 35471287, 36024573, 36151253, 36164357, 36380689, 36536140, 36624134, 37185704, 37418064, 37474466, 37767653, 37784510, 37851258, 38552271, 38848993, 39069290, 39506160, 39658481, 41034044, 41073618, 41723718, 42062497, 42296477, 42558982, 42630001, 42666541, 42729815, 42762186, 42816036, 42816051, 42975139, 43316277, 43362720, 43631530, 43833600, 44290107, 44308138, 44368893, 44593861, 44683273, 44708347, 44939523, 44939609, 44939610, 45472938, 45492581, 45695702, 45848748, 45848767, 45898208, 45905847, 45933156, 45995438, 46164949, 46164970, 46165373, 46259340, 46389556, 46718262, 46752615, 46875373, 46965263, 47012000, 47014786, 47218489, 47271128, 47271129, 47271144, 47463241, 47463247, 47742075, 47788656, 47828851, 48012163, 48012164, 48130583, 49175380, 49842808, 49842809, 50393115, 50395090, 50474423, 50617798, 50785098, 50824377, 51027117, 52543058, 52825217, 52994189, 53527593, 55401825, 55525212, 55658078, 55852025, 55911774, 58096796, 60330453, 60416797, 60420387, 62192752, 65018440, 66949498, 67213613, 67274167, 67995815, 69101887, 72833017, 72833023, 74174698, 76540944, 77319084, 77746571, 77746582, 77746589, 77766054, 78787057, 80113652, 81452869, 82406046, 83363742, 83405019, 83544339, 83691970, 84491016, 87023289, 87066710, 87394656, 87431632, 87551439, 87583996, 87844042, 88078698, 90322428, 90763779, 90790108, 90835631, 91069464, 91346177, 91347729, 91814701, 92851788, 92977002]"
HUANENG GROUP TECHNOLOGY INNOVATION CENTER,Company,136,2020,2023,1,4,"[74913967, 76113472, 76563134, 76680794, 76817266, 76872864, 76876927, 77093417, 77548151, 77577619, 77760619, 78158971, 78241026, 78329220, 78388019, 78419632, 78419635, 78478379, 78484752, 78484762, 78496421, 78548952, 78620147, 78623959, 78658060, 78684563, 78691188, 78736976, 78775654, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79066042, 79185019, 79189045, 79218031, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79890167, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 82194940, 82195052, 82231618, 82231814, 82345443, 82381314, 82381562, 82381841, 82382703, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82475414, 82485915, 82510691, 82536002, 82567117, 82596824, 82630336, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83583570, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87402360, 87535249, 88381902, 88461052, 89090834, 89728867, 90330213, 90335841, 90565114]"
"HUANENG MINGTAI ELECTRIC POWER CO., LTD.",Company,108,2021,2023,3,5,"[78388019, 78419632, 78419635, 78478379, 78548952, 78658060, 78684563, 78736976, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 80395179, 80750606, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 84803018, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
TOSHIBA CORPORATION,Company,108,2000,2023,23,6,"[18630478, 18862077, 18911036, 19008287, 19146277, 29698481, 29698482, 31710058, 32023944, 32818535, 36151216, 36162180, 36618672, 37405313, 37791390, 37849205, 37926148, 37938065, 38489970, 38635699, 38848966, 39179180, 39501622, 39705612, 39842061, 39854005, 40166334, 40318579, 40359165, 40813369, 41029407, 42253416, 42561679, 42576840, 42815702, 43779100, 46258397, 46259299, 46854497, 47267917, 47389485, 47687754, 47786119, 50784450, 50938435, 51403131, 52438570, 52485870, 52701366, 52701367, 52702073, 53765154, 54146923, 54201646, 54365067, 54428566, 55064320, 55951260, 55953883, 56077142, 56880350, 57143839, 57753297, 58423088, 58495234, 59055972, 59368694, 59742564, 59789229, 59790263, 59963901, 60322019, 61196509, 61196757, 61619103, 61619365, 61835315, 61905300, 62023326, 62076866, 62085695, 62559802, 63039460, 63448717, 63716730, 65904083, 66438266, 66438327, 67471303, 67983769, 67985725, 67985779, 68026385, 68106397, 69161183, 69170397, 69738126, 74563361, 74662183, 77848078, 78848699, 80224985, 83270821, 85122647, 85321927, 87136730, 87929286, 93259373]"
SICHUAN HUANENG KANGDING HYDROPOWER COMPANY,Company,105,2021,2023,1,7,"[78388019, 78419632, 78419635, 78478379, 78548952, 78658060, 78684563, 78736976, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
SICHUAN HUANENG DONGXIGUAN HYDROPOWER COMPANY,Company,105,2021,2023,1,8,"[78388019, 78419632, 78419635, 78478379, 78548952, 78658060, 78684563, 78736976, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
SICHUAN HUANENG FUJIANG HYDROPOWER COMPANY,Company,105,2021,2023,1,9,"[78388019, 78419632, 78419635, 78478379, 78548952, 78658060, 78684563, 78736976, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
SICHUAN HUANENG JIALINGJIANG HYDROPOWER COMPANY,Company,105,2021,2023,1,10,"[78388019, 78419632, 78419635, 78478379, 78548952, 78658060, 78684563, 78736976, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
