Applicant_Name,Harmonised_Name,Siemens_Group,Patent_Family_ID,Filing_Year,Person_ID,PSN_Sector,Sector
SIEMENS,SIEMENS,Siemens AG,7646799,2000,182238,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,8178973,2001,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,8178973,2001,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,8178973,2001,5666955,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENE,VOITHSIEMENSHYDROPOWERGENE,Voith Siemens (JV),32042547,2002,19509004,UNKNOWN,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,14881937,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,7233462,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,7233462,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,7233463,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,25599930,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,16833374,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,16833374,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,153793,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,5995230,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,1477381,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,15427167,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,15447554,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,15447554,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATIONAND CO.KG,VOITHSIEMENSHYDROPOWERGENERATIONAND,Voith Siemens (JV),32042547,2002,49088629,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,34924991,2004,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,36216828,2005,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,36216828,2005,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,37886822,2005,5666955,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,8615280,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,9253177,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,20051271,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,64032488,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,48889729,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5238080,COMPANY,Company
