jurisdiction;ipc_class;applicant_name;app_count;rank;ipc_class_description;jurisdiction_description
EP;A61B;Koninklijke Philips N.V.;1798;1;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Covidien LP;890;2;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Cilag GmbH International;465;3;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Boston Scientific Scimed, Inc.;385;4;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Biosense Webster (Israel) Ltd.;349;5;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;FUJIFILM Corporation;329;6;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Medtronic, Inc.;297;7;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Samsung Electronics Co., Ltd.;240;8;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Biosense Webster (Israel) Ltd;221;9;Diagnosis, Surgery, Identification;European Patent Office
EP;A61B;Boston Scientific Scimed Inc.;203;10;Diagnosis, Surgery, Identification;European Patent Office
EP;A61C;Koninklijke Philips N.V.;193;1;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Ivoclar Vivadent AG;112;2;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Align Technology, Inc.;67;3;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Medit Corp.;55;4;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Kuraray Noritake Dental Inc.;50;5;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Solventum Intellectual Properties Company;49;6;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;3Shape A/S;45;7;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Dentsply Sirona Inc.;45;7;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Sirona Dental Systems GmbH;39;8;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;3M Innovative Properties Company;28;9;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Ferton Holding S.A.;28;9;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Braun GmbH;24;10;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Osstemimplant Co., Ltd.;24;10;Dentistry, Oral Hygiene;European Patent Office
EP;A61C;Colgate-Palmolive Company;24;10;Dentistry, Oral Hygiene;European Patent Office
EP;A61F;Edwards Lifesciences Corporation;436;1;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;THE PROCTER & GAMBLE COMPANY;241;2;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;ALCON INC.;191;3;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;Ontex Group NV;136;4;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;Ontex BV;135;5;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;Boston Scientific Scimed, Inc.;108;6;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;Carl Zeiss Meditec AG;100;7;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;Medtronic, Inc.;92;8;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;Johnson & Johnson Surgical Vision, Inc.;91;9;Filters, Protheses, Orthotics;European Patent Office
EP;A61F;Purewick Corporation;83;10;Filters, Protheses, Orthotics;European Patent Office
EP;A61G;Hill-Rom Services, Inc.;52;1;Transport, Personal Conveyances;European Patent Office
EP;A61G;Koninklijke Philips N.V.;20;2;Transport, Personal Conveyances;European Patent Office
EP;A61G;Auris Health, Inc.;20;2;Transport, Personal Conveyances;European Patent Office
EP;A61G;The Braun Corporation;19;3;Transport, Personal Conveyances;European Patent Office
EP;A61G;STRYKER CORPORATION;17;4;Transport, Personal Conveyances;European Patent Office
EP;A61G;Stryker Corporation;16;5;Transport, Personal Conveyances;European Patent Office
EP;A61G;Liko Research & Development AB;13;6;Transport, Personal Conveyances;European Patent Office
EP;A61G;Arjo IP Holding Aktiebolag;12;7;Transport, Personal Conveyances;European Patent Office
EP;A61G;Warsaw Orthopedic, Inc.;10;8;Transport, Personal Conveyances;European Patent Office
EP;A61G;Baxter Medical Systems GmbH + Co. KG;10;8;Transport, Personal Conveyances;European Patent Office
EP;A61G;Maquet GmbH;9;9;Transport, Personal Conveyances;European Patent Office
EP;A61G;Invacare International GmbH;8;10;Transport, Personal Conveyances;European Patent Office
EP;A61G;LINET spol. s r.o.;8;10;Transport, Personal Conveyances;European Patent Office
EP;A61H;Samsung Electronics Co., Ltd.;35;1;Physical Therapy Apparatus;European Patent Office
EP;A61H;Roam Robotics Inc.;11;2;Physical Therapy Apparatus;European Patent Office
EP;A61H;Koninklijke Philips N.V.;11;2;Physical Therapy Apparatus;European Patent Office
EP;A61H;Bestway Inflatables & Material Corp.;10;3;Physical Therapy Apparatus;European Patent Office
EP;A61H;Therabody, Inc.;10;3;Physical Therapy Apparatus;European Patent Office
EP;A61H;Bullfrog International, LC;9;4;Physical Therapy Apparatus;European Patent Office
EP;A61H;Intex Marketing Ltd.;8;5;Physical Therapy Apparatus;European Patent Office
EP;A61H;Cyberdyne Inc.;7;6;Physical Therapy Apparatus;European Patent Office
EP;A61H;Hill-Rom Services, Inc.;7;6;Physical Therapy Apparatus;European Patent Office
EP;A61H;SEB S.A.;7;6;Physical Therapy Apparatus;European Patent Office
EP;A61H;Fondazione Istituto Italiano di Tecnologia;6;7;Physical Therapy Apparatus;European Patent Office
EP;A61H;Klafs GmbH;6;7;Physical Therapy Apparatus;European Patent Office
EP;A61H;EIS GmbH;6;7;Physical Therapy Apparatus;European Patent Office
EP;A61H;Shenzhen S-Hande Technology Co., Ltd.;6;7;Physical Therapy Apparatus;European Patent Office
EP;A61H;Hill-Rom Services Pte. Ltd.;6;7;Physical Therapy Apparatus;European Patent Office
EP;A61H;Vanderbilt University;6;7;Physical Therapy Apparatus;European Patent Office
EP;A61H;Tao Mining Co., Ltd.;6;7;Physical Therapy Apparatus;European Patent Office
EP;A61H;Toyota Jidosha Kabushiki Kaisha;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Arjo IP Holding Aktiebolag;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Able Human Motion, S.L.;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Dephy, Inc.;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Oriental Recreational Products (Shanghai) Co., Ltd;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;H Robotics Inc.;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Sony Group Corporation;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Hyperice IP SubCo, LLC;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Mysteryvibe Limited;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Seoul National University R & DB Foundation;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;CU Medical Systems Inc.;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;LG Electronics Inc.;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Wandercraft;5;8;Physical Therapy Apparatus;European Patent Office
EP;A61H;Moving Life Ltd;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Fenix Group S.r.l.;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;National University of Singapore;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Mezzoli, Giorgio;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;The Regents of the University of California;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Zhejiang Yihengyue Medical Technology Co., Ltd;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Universität Heidelberg;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Rani, Maria;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;JTL Enterprises, Inc.;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Ossur Iceland EHF;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Techno Takatsuki Co., Ltd.;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Seoul National University Hospital;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Nabtesco Corporation;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;LG Electronics, Inc.;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Conair LLC;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;Mobility Designed, Inc.;4;9;Physical Therapy Apparatus;European Patent Office
EP;A61H;STRYKER CORPORATION;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;ASIA UNIVERSITY;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;AISIN CORPORATION;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Topro Industri AS;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;ETH Zurich;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Aletha Inc.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;suitX, Inc.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;I.N.A.I.L. ISTITUTO NAZIONALE PER L'ASSICURAZIONE CONTRO GLI INFORTUNI SUL LAVORO;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Aatru Medical, LLC;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Essity Hygiene and Health Aktiebolag;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Stimit AG;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Medivr, Inc.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Koya Medical, Inc.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Hexarhumancare Co., Ltd;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;JK-Holding GmbH;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Toray Industries, Inc.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Mattheiss, Gerd;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;SHANGHAI FOURIER INTELLIGENCE CO., LTD;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Prestan Products LLC;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Ceragem Co., Ltd.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;BB3000M d.o.o.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Physio-Control, Inc.;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Ankon Medical Technologies (Shanghai) Co., Ltd;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;Seirin Corporation;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61H;ATEK;3;10;Physical Therapy Apparatus;European Patent Office
EP;A61J;Koninklijke Philips N.V.;31;1;Containers for Medicines;European Patent Office
EP;A61J;Becton, Dickinson and Company;31;1;Containers for Medicines;European Patent Office
EP;A61J;B. Braun Melsungen AG;23;2;Containers for Medicines;European Patent Office
EP;A61J;TERUMO Kabushiki Kaisha;21;3;Containers for Medicines;European Patent Office
EP;A61J;Tosho, Inc.;12;4;Containers for Medicines;European Patent Office
EP;A61J;Baxter Healthcare SA;12;4;Containers for Medicines;European Patent Office
EP;A61J;Fresenius Kabi Deutschland GmbH;12;4;Containers for Medicines;European Patent Office
EP;A61J;Amgen Inc.;12;4;Containers for Medicines;European Patent Office
EP;A61J;YUYAMA MFG. CO., LTD.;12;4;Containers for Medicines;European Patent Office
EP;A61J;Baxter International Inc.;11;5;Containers for Medicines;European Patent Office
EP;A61J;Becton Dickinson France;10;6;Containers for Medicines;European Patent Office
EP;A61J;Harro Höfliger Verpackungsmaschinen GmbH;10;6;Containers for Medicines;European Patent Office
EP;A61J;Fresenius Medical Care Deutschland GmbH;10;6;Containers for Medicines;European Patent Office
EP;A61J;FUJIFILM Toyama Chemical Co., Ltd.;9;7;Containers for Medicines;European Patent Office
EP;A61J;Qualicaps Co., Ltd.;9;7;Containers for Medicines;European Patent Office
EP;A61J;Bristol-Myers Squibb Company;9;7;Containers for Medicines;European Patent Office
EP;A61J;Corning Incorporated;8;8;Containers for Medicines;European Patent Office
EP;A61J;F. Hoffmann-La Roche AG;7;9;Containers for Medicines;European Patent Office
EP;A61J;SCHOTT Pharma Schweiz AG;7;9;Containers for Medicines;European Patent Office
EP;A61J;Koska Family Limited;7;9;Containers for Medicines;European Patent Office
EP;A61J;Taisei Kako Co., Ltd.;7;9;Containers for Medicines;European Patent Office
EP;A61J;SiO2 Medical Products, Inc.;6;10;Containers for Medicines;European Patent Office
EP;A61J;SCHOTT Pharma AG & Co. KGaA;6;10;Containers for Medicines;European Patent Office
EP;A61J;SHL Medical AG;6;10;Containers for Medicines;European Patent Office
EP;A61J;PHC Holdings Corporation;6;10;Containers for Medicines;European Patent Office
EP;A61J;Mayborn (UK) Limited;6;10;Containers for Medicines;European Patent Office
EP;A61J;Daikyo Seiko, LTD.;6;10;Containers for Medicines;European Patent Office
EP;A61K40;The Regents of the University of California;37;1;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;GH Research Ireland Limited;30;2;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Centre National de la Recherche Scientifique;23;3;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Dana-Farber Cancer Institute, Inc.;20;4;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;SANOFI;19;5;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Caamtech, Inc.;17;6;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Board of Regents, The University of Texas System;17;6;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Shiseido Company, Ltd.;16;7;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;L'Oreal;15;8;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Novartis AG;14;9;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;GW Research Limited;13;10;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Vertex Pharmaceuticals Incorporated;13;10;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Janssen Pharmaceuticals, Inc.;13;10;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;Merck Sharp & Dohme LLC;13;10;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61K40;IFM Due, Inc.;13;10;Medicinal Preparations (Drug Delivery);European Patent Office
EP;A61L;The Boeing Company;71;1;Sterilisation, Disinfection;European Patent Office
EP;A61L;Signify Holding B.V.;51;2;Sterilisation, Disinfection;European Patent Office
EP;A61L;LG Electronics Inc.;49;3;Sterilisation, Disinfection;European Patent Office
EP;A61L;Ushio Denki Kabushiki Kaisha;44;4;Sterilisation, Disinfection;European Patent Office
EP;A61L;Becton, Dickinson and Company;37;5;Sterilisation, Disinfection;European Patent Office
EP;A61L;Centre National de la Recherche Scientifique;29;6;Sterilisation, Disinfection;European Patent Office
EP;A61L;THE PROCTER & GAMBLE COMPANY;27;7;Sterilisation, Disinfection;European Patent Office
EP;A61L;Hollister Incorporated;26;8;Sterilisation, Disinfection;European Patent Office
EP;A61L;LG Chem, Ltd.;24;9;Sterilisation, Disinfection;European Patent Office
EP;A61L;TERUMO Kabushiki Kaisha;23;10;Sterilisation, Disinfection;European Patent Office
EP;A61L;Koninklijke Philips N.V.;23;10;Sterilisation, Disinfection;European Patent Office
EP;A61L;Zobele Holding SpA;23;10;Sterilisation, Disinfection;European Patent Office
EP;A61M;Becton, Dickinson and Company;476;1;Devices for Introducing Media;European Patent Office
EP;A61M;Koninklijke Philips N.V.;217;2;Devices for Introducing Media;European Patent Office
EP;A61M;SANOFI;200;3;Devices for Introducing Media;European Patent Office
EP;A61M;SHL Medical AG;184;4;Devices for Introducing Media;European Patent Office
EP;A61M;TERUMO Kabushiki Kaisha;137;5;Devices for Introducing Media;European Patent Office
EP;A61M;Fresenius Medical Care Deutschland GmbH;126;6;Devices for Introducing Media;European Patent Office
EP;A61M;Becton Dickinson France;121;7;Devices for Introducing Media;European Patent Office
EP;A61M;Bard Access Systems, Inc.;119;8;Devices for Introducing Media;European Patent Office
EP;A61M;Ypsomed AG;119;8;Devices for Introducing Media;European Patent Office
EP;A61M;Baxter International Inc.;118;9;Devices for Introducing Media;European Patent Office
EP;A61M;CareFusion 303, Inc.;114;10;Devices for Introducing Media;European Patent Office
EP;A61N;Medtronic, Inc.;369;1;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;BIOTRONIK SE & Co. KG;235;2;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;Boston Scientific Neuromodulation Corporation;152;3;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;Koninklijke Philips N.V.;143;4;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;Novocure GmbH;110;5;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;Siemens Healthineers International AG;70;6;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;Cochlear Limited;60;7;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;Elekta Limited;55;8;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;ADVANCED NEUROMODULATION SYSTEMS, INC.;54;9;Electrotherapy, Magnetotherapy;European Patent Office
EP;A61N;Pacesetter, Inc.;41;10;Electrotherapy, Magnetotherapy;European Patent Office
EP;G16H;Koninklijke Philips N.V.;736;1;Healthcare Informatics;European Patent Office
EP;G16H;F. Hoffmann-La Roche AG;145;2;Healthcare Informatics;European Patent Office
EP;G16H;Cilag GmbH International;100;3;Healthcare Informatics;European Patent Office
EP;G16H;Insulet Corporation;87;4;Healthcare Informatics;European Patent Office
EP;G16H;Siemens Healthcare GmbH;75;5;Healthcare Informatics;European Patent Office
EP;G16H;Medtronic, Inc.;73;6;Healthcare Informatics;European Patent Office
EP;G16H;FUJIFILM Corporation;65;7;Healthcare Informatics;European Patent Office
EP;G16H;Roche Diagnostics GmbH;64;8;Healthcare Informatics;European Patent Office
EP;G16H;GE Precision Healthcare LLC;60;9;Healthcare Informatics;European Patent Office
EP;G16H;Samsung Electronics Co., Ltd.;51;10;Healthcare Informatics;European Patent Office
EP;H05G;Koninklijke Philips N.V.;50;1;X-ray Technique;European Patent Office
EP;H05G;ASML Netherlands B.V.;40;2;X-ray Technique;European Patent Office
EP;H05G;Excillum AB;14;3;X-ray Technique;European Patent Office
EP;H05G;Ushio Denki Kabushiki Kaisha;12;4;X-ray Technique;European Patent Office
EP;H05G;GE Precision Healthcare LLC;11;5;X-ray Technique;European Patent Office
EP;H05G;Hamamatsu Photonics K.K.;7;6;X-ray Technique;European Patent Office
EP;H05G;ISTEQ B.V.;5;7;X-ray Technique;European Patent Office
EP;H05G;AIXSCAN, Inc.;5;7;X-ray Technique;European Patent Office
EP;H05G;KLA Corporation;5;7;X-ray Technique;European Patent Office
EP;H05G;TRUMPF Lasersystems for Semiconductor Manufacturing GmbH;5;7;X-ray Technique;European Patent Office
EP;H05G;ISTEQ GROUP HOLDING B.V.;4;8;X-ray Technique;European Patent Office
EP;H05G;Shanghai United Imaging Healthcare Co., Ltd.;4;8;X-ray Technique;European Patent Office
EP;H05G;TRUMPF Lasersystems for Semiconductor Manufacturing SE;4;8;X-ray Technique;European Patent Office
EP;H05G;Arizona Board of Regents on behalf of Arizona State University;4;8;X-ray Technique;European Patent Office
EP;H05G;Canon Anelva Corporation;4;8;X-ray Technique;European Patent Office
EP;H05G;Nuctech Company Limited;3;9;X-ray Technique;European Patent Office
EP;H05G;Carl Zeiss SMT GmbH;3;9;X-ray Technique;European Patent Office
EP;H05G;Sociedad Española De Electromedicina Y Calidad, S. A.;3;9;X-ray Technique;European Patent Office
EP;H05G;Siemens Healthineers AG;3;9;X-ray Technique;European Patent Office
EP;H05G;Carl Zeiss X-Ray Microscopy, Inc.;3;9;X-ray Technique;European Patent Office
EP;H05G;Hologic, Inc.;3;9;X-ray Technique;European Patent Office
EP;H05G;Energetiq Technology, Inc.;3;9;X-ray Technique;European Patent Office
EP;H05G;USHIO Denki Kabushiki Kaisha;2;10;X-ray Technique;European Patent Office
