jurisdiction;applicant_name;applicant_country;total_applications;different_classes;active_in_classes;jurisdiction_description
EP;Koninklijke Philips N.V.;NL;2711;11;N/A;European Patent Office
EP;Covidien LP;US;934;8;N/A;European Patent Office
EP;Medtronic, Inc.;US;636;7;N/A;European Patent Office
EP;Becton, Dickinson and Company;US;583;7;N/A;European Patent Office
EP;Edwards Lifesciences Corporation;US;563;6;N/A;European Patent Office
EP;Cilag GmbH International;CH;536;7;N/A;European Patent Office
EP;Boston Scientific Scimed, Inc.;US;506;8;N/A;European Patent Office
EP;FUJIFILM Corporation;JP;374;8;N/A;European Patent Office
EP;Biosense Webster (Israel) Ltd.;IL;363;6;N/A;European Patent Office
EP;Boston Scientific Scimed Inc.;US;325;6;N/A;European Patent Office
EP;BIOTRONIK SE & Co. KG;DE;300;4;N/A;European Patent Office
EP;Samsung Electronics Co., Ltd.;KR;296;8;N/A;European Patent Office
EP;ALCON INC.;CH;279;6;N/A;European Patent Office
EP;THE PROCTER & GAMBLE COMPANY;US;277;9;N/A;European Patent Office
EP;F. Hoffmann-La Roche AG;CH;255;9;N/A;European Patent Office
EP;SANOFI;FR;251;7;N/A;European Patent Office
EP;Bard Access Systems, Inc.;US;242;7;N/A;European Patent Office
EP;Biosense Webster (Israel) Ltd;IL;236;5;N/A;European Patent Office
EP;Aesculap AG;DE;231;6;N/A;European Patent Office
EP;TERUMO Kabushiki Kaisha;JP;206;7;N/A;European Patent Office
EP;SHL Medical AG;CH;190;5;N/A;European Patent Office
EP;Ethicon LLC;PR;186;7;N/A;European Patent Office
EP;GE Precision Healthcare LLC;US;180;8;N/A;European Patent Office
EP;Stryker European Operations Limited;IE;180;8;N/A;European Patent Office
EP;Karl Storz SE & Co. KG;DE;178;5;N/A;European Patent Office
EP;Siemens Healthineers AG;DE;174;8;N/A;European Patent Office
EP;Fresenius Medical Care Deutschland GmbH;DE;167;6;N/A;European Patent Office
EP;Intuitive Surgical Operations, Inc.;US;165;5;N/A;European Patent Office
EP;Boston Scientific Neuromodulation Corporation;US;163;3;N/A;European Patent Office
EP;Smith & Nephew Orthopaedics AG;CH;161;7;N/A;European Patent Office
EP;Centre National de la Recherche Scientifique;FR;158;11;N/A;European Patent Office
EP;3M Innovative Properties Company;US;158;8;N/A;European Patent Office
EP;Solventum Intellectual Properties Company;US;158;6;N/A;European Patent Office
EP;The Regents of the University of California;US;154;10;N/A;European Patent Office
EP;Baxter International Inc.;US;149;6;N/A;European Patent Office
EP;Siemens Healthcare GmbH;DE;146;5;N/A;European Patent Office
EP;Sony Group Corporation;JP;146;6;N/A;European Patent Office
EP;Baxter Healthcare SA;CH;146;5;N/A;European Patent Office
EP;CareFusion 303, Inc.;US;142;6;N/A;European Patent Office
EP;Ambu A/S;DK;141;3;N/A;European Patent Office
EP;Smith & Nephew Asia Pacific Pte. Limited;SG;140;6;N/A;European Patent Office
EP;Insulet Corporation;US;137;4;N/A;European Patent Office
EP;Ontex Group NV;BE;137;4;N/A;European Patent Office
EP;Ontex BV;BE;136;4;N/A;European Patent Office
EP;Carl Zeiss Meditec AG;DE;136;6;N/A;European Patent Office
EP;B. Braun Melsungen AG;DE;131;8;N/A;European Patent Office
EP;Becton Dickinson France;FR;125;5;N/A;European Patent Office
EP;Huawei Technologies Co., Ltd.;CN;123;5;N/A;European Patent Office
EP;ResMed Pty Ltd;AU;122;5;N/A;European Patent Office
EP;Ypsomed AG;CH;121;4;N/A;European Patent Office
